Sample	posterior	likelihood	prior	treeLikelihood.sequences_anotated_aligned	treeHeight.t:sequences_anotated_aligned	treeLength.t:sequences_anotated_aligned	Tree.t:sequences_anotated_aligned.count_adult_to_old	Tree.t:sequences_anotated_aligned.count_adult_to_young	Tree.t:sequences_anotated_aligned.count_old_to_adult	Tree.t:sequences_anotated_aligned.count_old_to_young	Tree.t:sequences_anotated_aligned.count_young_to_adult	Tree.t:sequences_anotated_aligned.count_young_to_old	Tree.t:sequences_anotated_aligned.count_adult	Tree.t:sequences_anotated_aligned.count_old	Tree.t:sequences_anotated_aligned.count_young	rootTypeLogger.t:sequences_anotated_aligned	R0.t:sequences_anotated_aligned.1	R0.t:sequences_anotated_aligned.2	R0.t:sequences_anotated_aligned.3	samplingProportion.t:sequences_anotated_aligned.1	samplingProportion.t:sequences_anotated_aligned.2	samplingProportion.t:sequences_anotated_aligned.3	samplingProportion.t:sequences_anotated_aligned.4	samplingProportion.t:sequences_anotated_aligned.5	samplingProportion.t:sequences_anotated_aligned.6	becomeUninfectiousRate.t:sequences_anotated_aligned.1	becomeUninfectiousRate.t:sequences_anotated_aligned.2	becomeUninfectiousRate.t:sequences_anotated_aligned.3	rateMatrix.t:sequences_anotated_aligned.1	rateMatrix.t:sequences_anotated_aligned.2	rateMatrix.t:sequences_anotated_aligned.3	rateMatrix.t:sequences_anotated_aligned.4	rateMatrix.t:sequences_anotated_aligned.5	rateMatrix.t:sequences_anotated_aligned.6	geo-frequencies.t:sequences_anotated_aligned.1	geo-frequencies.t:sequences_anotated_aligned.2	geo-frequencies.t:sequences_anotated_aligned.3	clockRate.c:sequences_anotated_aligned	kappa.s:sequences_anotated_aligned	proportionInvariant.s:sequences_anotated_aligned	gammaShape.s:sequences_anotated_aligned	freqParameter.s:sequences_anotated_aligned.1	freqParameter.s:sequences_anotated_aligned.2	freqParameter.s:sequences_anotated_aligned.3	freqParameter.s:sequences_anotated_aligned.4
0	-73989.47212955549	-73219.446109987	-770.0260195684965	-73219.446109987	5.594933012628492	41.521371974391926	18	10	11	16	13	14	98	52	50	2	2.0	2.0	2.0	0.0	0.01	0.0	0.01	0.0	1.0	1.0	1.0	1.0	0.1	0.1	0.1	0.1	0.1	0.1	0.34	0.33	0.33	0.0098	2.0	0.86	1.0	0.25	0.25	0.25	0.25
1000000	-48619.29079124346	-48888.901577042205	269.6107857987421	-48888.901577042205	4.469229779971006	174.42056919662835	178	94	125	101	69	37	24	36	140	2	0.9739321713769931	0.9927856347943192	1.0963786839477685	0.0	0.01250875254642402	0.0	4.2107831793691125E-4	0.0	0.003240782499206561	73.43441308380821	73.43441308380821	73.43441308380821	11.921140536028613	2.1328624928333517	1.2064493602396253	0.11982455593374562	3.2182146877587887	5.332049566420748	0.34	0.33	0.33	1.5589437561681725E-4	6.0888929469952595	0.6824606163114204	0.5464569968608144	0.29074381409561845	0.1805110475412503	0.19169180906167216	0.3370533293014587
2000000	-48785.0430242892	-48870.66869927936	85.62567499016032	-48870.66869927936	5.396940462401013	208.2502491585967	129	71	92	77	26	32	20	39	141	2	0.8746156058864429	1.0007730506446926	1.1002851315370104	0.0	0.02161276901694154	0.0	5.732264879981764E-4	0.0	0.004203413369159714	50.380583632741114	50.380583632741114	50.380583632741114	8.259362710574386	1.1370346106486209	0.8137977410824797	0.088607256667631	1.7153060443420463	3.5600377457372803	0.34	0.33	0.33	1.246835401842175E-4	4.838861140460828	0.6299035336467873	0.24348321957628125	0.2940277893539003	0.1820073214160738	0.191131071714475	0.33283381751555063
3000000	-48816.43475012295	-48856.93349945271	40.49874932975703	-48856.93349945271	4.6840031473019	184.50164176236467	117	109	115	60	33	65	24	54	122	2	0.9332588496577775	1.0026112737079205	1.1620620120298897	0.0	0.010157685169825757	0.0	9.314465900326375E-4	0.0	0.009832276442145342	56.96818751446855	56.96818751446855	56.96818751446855	3.610051321839631	0.3579735848729074	1.1961083743565541	0.18248894627486725	7.513495509956591	2.704612781844594	0.34	0.33	0.33	1.538705317646734E-4	5.7470500842451075	0.7553467409493749	1.5167900379353099	0.2953916242458273	0.18002962866071787	0.1925727165339463	0.3320060305595086
4000000	-48555.076947534944	-48860.76553442471	305.6885868897672	-48860.76553442471	5.10384938992643	166.87201768341865	107	125	125	53	17	77	12	52	136	1	0.9094067147351103	0.9937836637327437	1.2555760102159497	0.0	0.01984183425214805	0.0	5.892467815291186E-4	0.0	0.008190166272013032	54.68978792815073	54.68978792815073	54.68978792815073	12.814935615827489	0.47693033496247983	0.6852435727669416	0.1379649856775161	11.679289894454486	4.565077328548387	0.34	0.33	0.33	1.685719003981545E-4	4.908464525146608	0.5411548493747407	0.2953721027439424	0.29508430560445514	0.17969792342997115	0.19659300563261484	0.32862476533295915
5000000	-48530.235624686095	-48873.121835295875	342.8862106097818	-48873.121835295875	4.287180093570711	145.99061067415857	127	93	106	46	26	42	14	64	122	2	0.8411346141662356	1.0025554467472941	1.104261476218677	0.0	0.014448997309761331	0.0	9.298251015266536E-4	0.0	0.005343392733639605	73.48542362427068	73.48542362427068	73.48542362427068	9.985811855968649	0.6698905717736049	1.4802605471061274	0.1644080436221708	5.924750682722056	2.2839694902839356	0.34	0.33	0.33	1.857717462321551E-4	4.7799632304718225	0.7653789719292181	1.8402499327140767	0.29285940277512584	0.18027888947024184	0.19119959610165604	0.3356621116529765
6000000	-48498.202131539954	-48861.241047055926	363.03891551597343	-48861.241047055926	3.851012060761881	147.2339535491949	107	126	144	37	10	66	23	39	138	2	1.0177706643368227	0.9918923760765762	1.1000689600187392	0.0	0.011370520852753816	0.0	5.218772327630508E-4	0.0	0.0038388935024844723	77.30219559750358	77.30219559750358	77.30219559750358	15.269058575654206	0.26476675000373684	0.6581758709160049	0.19985594816276536	6.633475829107974	2.50048338860709	0.34	0.33	0.33	1.8284685349572444E-4	5.5478709604258505	0.5178847800107289	0.19581374754421668	0.2914184592395402	0.1819622549748302	0.19657650319903233	0.33004278258659714
7000000	-48477.03790676155	-48866.42762801483	389.38972125327956	-48866.42762801483	3.37813028004389	128.0483970916295	121	126	154	39	14	55	23	30	147	2	0.9672884722208348	0.9964207921061851	1.1474639765900387	0.0	0.004449253769947327	0.0	4.92244875513639E-4	0.0	0.0028506148377252	89.41163713015922	89.41163713015922	89.41163713015922	10.217992706103397	0.16695702464107307	1.3609266812928933	0.1789109619661159	8.833026333385739	4.153720566395882	0.34	0.33	0.33	2.0890705171293806E-4	4.40100691955963	0.6443394019224243	0.6172594420464823	0.29487186916192215	0.17927803072906523	0.1942917238241942	0.33155837628481827
8000000	-48311.792018120155	-48860.11745324114	548.3254351209848	-48860.11745324114	3.1900124416032267	110.1220087076996	126	149	192	14	14	68	33	34	133	1	1.0629255068716836	0.9764729393164523	1.1985420206875874	0.0	0.01274173155279331	0.0	0.001397291203545706	0.0	0.009240213047949981	53.43752528294799	53.43752528294799	53.43752528294799	13.406303573258727	0.2961862841861517	1.4594761270386576	0.3185177869484049	9.264822058301926	2.350994461680626	0.34	0.33	0.33	2.4283444451380065E-4	6.005798667451853	0.556220415340547	0.32036846402929103	0.2926046052724997	0.18337267143321	0.19250120144508623	0.33152152184920397
9000000	-48201.86145490927	-48842.391136359314	640.5296814500504	-48842.391136359314	3.037549710022811	99.30910121762331	149	130	175	29	27	50	25	42	133	2	0.9848505613628716	0.9977338552955399	1.129662713297591	0.0	0.013922528279572993	0.0	8.346757734455148E-4	0.0	0.009284084275276348	74.96336082869028	74.96336082869028	74.96336082869028	14.610463056772058	0.5169690537381836	1.948927698515921	0.289512840451235	9.787822370164891	2.5844974546151183	0.34	0.33	0.33	2.5155967901799753E-4	5.849289146539779	0.7487173835568743	1.322188639326897	0.2944967099922505	0.18159923541458797	0.19037518099460274	0.33352887359855843
