Sample	posterior	likelihood	prior	treeLikelihood.sequences_anotated_aligned	treeHeight.t:sequences_anotated_aligned	treeLength.t:sequences_anotated_aligned	Tree.t:sequences_anotated_aligned.count_adult_to_old	Tree.t:sequences_anotated_aligned.count_adult_to_young	Tree.t:sequences_anotated_aligned.count_old_to_adult	Tree.t:sequences_anotated_aligned.count_old_to_young	Tree.t:sequences_anotated_aligned.count_young_to_adult	Tree.t:sequences_anotated_aligned.count_young_to_old	Tree.t:sequences_anotated_aligned.count_adult	Tree.t:sequences_anotated_aligned.count_old	Tree.t:sequences_anotated_aligned.count_young	rootTypeLogger.t:sequences_anotated_aligned	R0.t:sequences_anotated_aligned.1	R0.t:sequences_anotated_aligned.2	R0.t:sequences_anotated_aligned.3	samplingProportion.t:sequences_anotated_aligned.1	samplingProportion.t:sequences_anotated_aligned.2	samplingProportion.t:sequences_anotated_aligned.3	samplingProportion.t:sequences_anotated_aligned.4	samplingProportion.t:sequences_anotated_aligned.5	samplingProportion.t:sequences_anotated_aligned.6	becomeUninfectiousRate.t:sequences_anotated_aligned.1	becomeUninfectiousRate.t:sequences_anotated_aligned.2	becomeUninfectiousRate.t:sequences_anotated_aligned.3	rateMatrix.t:sequences_anotated_aligned.1	rateMatrix.t:sequences_anotated_aligned.2	rateMatrix.t:sequences_anotated_aligned.3	rateMatrix.t:sequences_anotated_aligned.4	rateMatrix.t:sequences_anotated_aligned.5	rateMatrix.t:sequences_anotated_aligned.6	geo-frequencies.t:sequences_anotated_aligned.1	geo-frequencies.t:sequences_anotated_aligned.2	geo-frequencies.t:sequences_anotated_aligned.3	clockRate.c:sequences_anotated_aligned	kappa.s:sequences_anotated_aligned	proportionInvariant.s:sequences_anotated_aligned	gammaShape.s:sequences_anotated_aligned	freqParameter.s:sequences_anotated_aligned.1	freqParameter.s:sequences_anotated_aligned.2	freqParameter.s:sequences_anotated_aligned.3	freqParameter.s:sequences_anotated_aligned.4
0	-73730.25642811906	-73025.70046155885	-704.5559665602007	-73025.70046155885	2.742479568153134	31.843475754578535	16	7	4	10	5	13	88	61	51	1	2.0	2.0	2.0	0.0	0.01	0.0	0.01	0.0	1.0	1.0	1.0	1.0	0.1	0.1	0.1	0.1	0.1	0.1	0.34	0.33	0.33	0.0098	2.0	0.86	1.0	0.25	0.25	0.25	0.25
1000000	-48393.15104095534	-48860.58878089194	467.4377399366066	-48860.58878089194	2.4159738570564206	82.15501443321807	113	2	83	3	27	16	97	90	13	2	1.0591504425803682	1.0109343939782567	0.7867755047996675	0.0	0.006850095390567274	0.0	3.907596394806572E-4	0.0	0.02899863507730923	111.68991831580348	111.68991831580348	111.68991831580348	8.350778084484105	2.1343798107101084	0.8179264820520132	0.12532932632996316	0.5279554681507397	1.8332685171614953	0.34	0.33	0.33	3.4560533804056014E-4	5.401650553334525	0.7375641647713163	0.8717801713702478	0.2949431800373855	0.17987936808772914	0.1955621381746798	0.32961531370020564
2000000	-48176.81614031966	-48860.18364990656	683.367509586907	-48860.18364990656	1.913606257254693	67.85582499155389	135	0	59	0	40	5	66	127	7	1	1.0110250320007073	1.005816949214617	0.644709877690465	0.0	0.0028695699481320934	0.0	7.837076298420234E-5	0.0	0.08038917830709882	280.113160912528	280.113160912528	280.113160912528	8.566257514110342	2.6700923159870564	0.9039032221262725	0.019880599442753392	0.15105322363116055	2.1442178304600463	0.34	0.33	0.33	4.156110222591898E-4	5.161232034730764	0.7954663739853559	1.7181120989016283	0.28699558881095455	0.18331070157468904	0.19610041847102003	0.33359329114333647
3000000	-48214.39423340043	-48867.68374529647	653.2895118960342	-48867.68374529647	1.7173007369530298	56.13873604136783	95	0	28	0	21	18	55	132	13	0	0.993840619455962	1.006969725113497	0.854975580674432	0.0	0.002518527081622847	0.0	8.024509526992592E-5	0.0	0.013642260923015539	360.61901479162236	360.61901479162236	360.61901479162236	5.231278788498594	2.9537042234959	0.885346002621349	0.09489182142466886	0.2129947802433649	0.8703842785937079	0.34	0.33	0.33	4.908185320583896E-4	4.994848824705715	0.7410882521107738	1.6420370352925104	0.2960279925059438	0.18217465314585515	0.19062252325386803	0.33117483109433304
4000000	-48059.785229832945	-48849.36504469857	789.5798148656268	-48849.36504469857	1.5237461347961565	50.52581859797181	101	0	15	0	34	9	50	141	9	1	0.9640901797876871	1.007036625181413	0.7188105914062819	0.0	0.0034768177839778866	0.0	4.64850367690718E-5	0.0	0.07323424060856536	404.3408392766823	404.3408392766823	404.3408392766823	7.416040553150373	3.06427404177461	0.9839785977326607	0.020930006615334777	0.3666473400065856	0.6906448143827764	0.34	0.33	0.33	5.305746874370709E-4	4.647270795066111	0.6627823636161926	0.7194626768551167	0.2962546666936558	0.18034512571766212	0.19343257947428935	0.3299676281143928
5000000	-48098.8503609538	-48885.836774614596	786.986413660795	-48885.836774614596	1.1873693353535562	45.85115840281134	96	0	12	0	32	10	50	140	10	1	0.974121141085429	1.011846277352433	0.6253454823807277	0.0	0.005291040907285049	0.0	9.710685876440113E-5	0.0	0.07088837611831285	309.0195842914717	309.0195842914717	309.0195842914717	7.1690136932026824	3.4022194003990722	1.0120725260763797	0.049291930429062165	0.17964321321095864	0.20099190837876751	0.34	0.33	0.33	6.015007867335902E-4	5.344892246688204	0.560617748906031	0.37591846466792467	0.30213694725963025	0.17817787629885967	0.18986129003240187	0.3298238864091082
6000000	-47899.634224944115	-48859.60977254444	959.9755476003268	-48859.60977254444	1.1434122036510521	43.10623051890458	99	0	5	0	43	3	51	143	6	1	0.9270985677162584	1.005722459693556	0.33010837903317236	0.0	0.00914681078419024	0.0	3.177266609235157E-5	0.0	0.1888337736600135	499.9600710903926	499.9600710903926	499.9600710903926	2.9943177250186777	6.019344490963124	0.5506959597845567	0.006729936058972744	0.7102568241325643	3.8754308414536434	0.34	0.33	0.33	6.193490217252096E-4	5.169263924178155	0.7383190479033906	1.0302999643599617	0.29584801609460465	0.17925656160167017	0.19372777146272577	0.33116765084099975
7000000	-47873.94529229507	-48854.52739470069	980.5821024056174	-48854.52739470069	1.0523209368178148	37.34776221519733	94	0	3	0	42	4	53	141	6	1	0.9564374069400995	1.005848443335551	0.6396356422036632	0.0	0.005143591202126957	0.0	1.962749901653911E-5	0.0	0.10259018527953978	664.176127086883	664.176127086883	664.176127086883	1.559077032204316	5.294365725272172	0.4557531765581348	0.003477870742949402	0.2278679857565726	0.15427973664164207	0.34	0.33	0.33	7.42053426948078E-4	4.757304493248222	0.7188692122668184	0.5032796234951938	0.29455324524292165	0.18355041094532382	0.19100128465230326	0.3308950591594516
8000000	-47893.73203392914	-48858.48759209161	964.7555581624691	-48858.48759209161	0.9924509984716481	31.98027028015029	94	0	3	0	34	8	45	145	10	1	0.950986932647014	1.004849990333153	0.5049980678350791	0.0	0.0019308906979090892	0.0	2.3728179493631737E-5	0.0	0.09739653257084378	820.7644903193019	820.7644903193019	820.7644903193019	2.231526651574679	2.1292675830330676	1.401227262462562	0.03580002214561424	0.10056861357917461	1.7777938419020494	0.34	0.33	0.33	8.55384610133375E-4	5.2921137473921105	0.6885702227613937	0.5567237920260956	0.2917096007321959	0.18150850217383133	0.19502329807115806	0.331758599022815
9000000	-47857.67843048944	-48874.80684635415	1017.1284158647098	-48874.80684635415	0.655567009252957	24.427767377847754	98	0	10	0	37	6	51	140	9	1	0.9152482092437736	1.0175220633950124	0.8088401100425541	0.0	0.014759255506253807	0.0	1.1608247840875908E-4	0.0	0.15362226298967127	344.5781899407686	344.5781899407686	344.5781899407686	11.378098067910887	6.328967048482351	1.2930761147155378	0.024628429342150787	0.013882611523445788	1.0493099027974468	0.34	0.33	0.33	0.0010481638980260602	4.344579307713515	0.7329734294701227	1.0391849783512024	0.29851353987433116	0.18196995573267022	0.18864315554369215	0.33087334884930675
